ID,Title,Precondition,Steps,Test Date,Expected Result
,New customer opens a credit card account,Customer is new; no existing account,"1. Open account creation form
2. Enter valid customer details
3. Submit",,1.System creates new account.  2. 15% New Customer Discount applied.  3. Discount valid today only.   4.Confirmation shows discount details.
,New customer with a coupon,Customer is new; has coupon,"1. Open account creation form.   2. Enter valid details
3. Enter coupon
4. Submit.",,"1.Account created.
2.System applies 15% New Customer Discount only.
3.Coupon ignored (not combinable).
4.Confirmation shows only 15%."
,Existing customer with a loyalty card,Customer already exists; has loyalty card,"1. Login as existing customer.                   2. Enter valid loyalty card.
3. Submit.",,"1. 10% Loyalty Discount applied.
2.Confirmation shows discount line.
3.Details stored in account."
,Existing customer with loyalty card and coupon,Customer exists; has loyalty card + valid coupon,"1. Login.
2. Enter loyalty card
3. Enter coupon
4. Submit","Customer Type=Existing, LoyaltyCard= 12345, Coupon= VALID123","1.System applies 10% + 20% = 30% total.
2.Breakdown shown (10% + 20%).
3.Coupon marked as used.
4.Confirmation + account log updated."
,Existing customer with coupon only,Customer exists; no loyalty card; valid coupon,"1. Login
2. Enter coupon
3. Submit",,"1. 20% Coupon Discount applied.
2.Confirmation shows discount.
3.Coupon marked as used."
,Existing customer without loyalty card or coupon,Customer exists; no coupon/loyalty card,"1. Login
2. Proceed without coupon/loyalty
3. Submit",,"1.No discounts applied.
2.Confirmation shows full price (0% discount)."
,Existing customer with expired coupon,Customer exists; coupon provided but expired,"1. Login
2. Enter expired coupon
3. Submit","Customer Type=  Existing,     Coupon=  EXPIRED 2024","1.Coupon rejected.
2.Message: “Coupon expired – no discount applied.”
3.No discount given.
4.Error log created."
,Existing customer with invalid loyalty card,Customer exists; loyalty card invalid,"1. Login
2. Enter invalid loyalty card
3. Submit",,"1.Loyalty card rejected.
2.Message: “Loyalty card not recognized.”
3.No loyalty discount applied.
4.Error logged."
,Missing customer type,Customer type not selected,"1. Open form.
2. Leave customer type empty
3. Submit",,"1.System blocks submission.
2.Error: “Please select customer type.”
3.No account created/discount applied."
,"Existing customer selects ""New"" option",Customer already exists in the system,"1. Login with existing customer account
2. In account creation form, select ""New Customer""
3. Submit",CustomerType=Existing but selected=New,"1. System rejects input
2. Error message: “Existing customers cannot register as New.”
3. No new account created / no discount applied"
,Existing customer with invalid coupon code,Customer exists; coupon entered but code invalid,"1. Login
2. Enter invalid coupon
3. Submit","CustomerType=Existing, Coupon=XXXXXX","1.Coupon rejected.
2.Message: “Coupon invalid – no discount applied.”
3.No discount given.
4.Error log created."
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Test cases 1 user story 
Open a credit card account.",,,,,
,,,,,
1. New customer opens a credit card account,,,,,
,,,,,
2. New customer with a coupon,,,,,
,,,,,
3. Existing customer with a loyalty card,,,,,
,,,,,
4. Existing customer with loyalty card and coupon,,,,,
,,,,,
5. Existing customer without loyalty card but with a coupon,,,,,
,,,,,
6. Existing customer without loyalty card and without coupon,,,,,
,,,,,
7. Existing customer with an expired coupon,,,,,
,,,,,
8. Existing customer with an invalid coupon code,,,,,
,,,,,
9. Existing customer with an invalid loyalty card number,,,,,
,,,,,
10. Customer type not specified (missing input),,,,,
,,,,,
"11. Existing customer selects ""New Customer"" option",,,,,
